bitsadmin
certutil 
cmd 
csc
cscript
diskshadow 
explorer 
fsutil
ieexec
msconfig
msdt 
mshta 
msiexec
pcwrun
regsvr32
rundll32
sc 
schtasts 
wmic 
wscript 
wuauclt 
