File Name,Location,Application Name,Domains,Notes,Source
,,N-Able Advanced Monitoring Agent,systemmonitor.us.cdn.cloudflare.net,,
,,N-Able Advanced Monitoring Agent,system-monitor.com,,
,,N-Able Advanced Monitoring Agent,remote.management,,
,,N-Able Advanced Monitoring Agent,cloudbackup.management,,
,,N-Able Advanced Monitoring Agent,n-able.com,,
BASupApp.exe,,BeAnyWhere,beanywhere.com,,
TakeControl.exe,,BeAnyWhere,,,
BASupSysInf.exe,,BeAnyWhere,,,
BASupAppSrvc.exe,,BeAnyWhere,,,
BASupAppElev.exe,,BeAnyWhere,,,
SplashtopSOS.exe,,Splashtop (Beta),splashtop.com,,
SRServer.exe,,Splashtop (Beta),,,
Splashtop_Streamer_Windows*.exe,,Splashtop (Beta),,,
SRManager.exe,,Splashtop (Beta),,,
GotoHTTP*.exe,,GoToHTTP,,,
action1_agent.exe,,Action1,server.action1.com,,
action1_remote.exe,,Action2,a1-backend-packages.s3.amazonaws.com,,
action1_connector.exe,,Action3,action1.com,,
action1_update.exe,,Action4,,,
a1_remote.exe,,Action5,,,
TightVNCViewerPortable*.exe,,TightVNC,tightvnc.com,,
tvnviewer.exe,,TightVNC,,,
tvnserver.exe,,TightVNC,,,
smpcsetup.exe,,ShowMyPC,showmypc.com,,
showmypc*.exe,,ShowMyPC,,,
xeox_service_windows.exe,,Xeox,*.xeox.com,,
xeox-agent_x64.exe,,Xeox,,,
xeox-agent_x86.exe,,Xeox,,,
ImperoClientSVC.exe,,Impero Connect,imperosoftware.com,,
InstantHousecall.exe,,Instant Housecall,secure.instanthousecall.com,,
,,Instant Housecall,*.instanthousecall.com,,
,,Instant Housecall,instanthousecall.com,,
ISLLight.exe,,ISL Online,*.islonline.net,,
ISLLightClient.exe,,ISL Online,,,
TSClient.exe,,Parallels Access,,,
Pilixo_Installer*.exe,,Pilixo,*.pilixo.com,,
,,Pilixo,pilixo.com,,
,,Pilixo,download.pilixo.com,,
RemotePC.exe,,RemotePC,remotepc.com,,
RemotePCService.exe,,RemotePC,,,
superops.exe,,SuperOps,serv.superopsalpha.com,,
superopsticket.exe,,SuperOps,*.superops.ai,,
,,SuperOps,*.superopsalpha.com,,
,,SuperOps,*.superopsbeta.com,,
RDConsole.exe,,Rocket Remote Desktop,,,
RocketRemoteDesktop_Setup.exe,,Rocket Remote Desktop,,,
GetScreen.exe,,GetScreen,GetScreen.me,,
ManageEngine_Remote_Access_Plus.exe,,ManageEngine,,,
InstallShield Setup.exe,,ManageEngine,,,
remcos*.exe,,Remcos,BreakingSecurity.net,,
